raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,atMile28,atMile29,atMile30,finished
108,11000,0,0,0,10,220,730,1470,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,660,100,1550,1590,1370,930
110,11000,0,0,0,0,200,620,1350,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,670,70,1480,1680,1240,1100
112,11000,0,0,0,0,150,490,1300,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,690,100,1530,1760,1220,1230
114,11000,0,0,0,0,120,380,1180,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,720,70,1530,1760,1160,1420
116,11000,0,0,0,0,100,350,1010,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,740,110,1520,1690,1290,1550
118,11000,0,0,0,0,80,330,870,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,840,70,1410,1600,1430,1700
120,11000,0,0,0,0,50,300,770,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,960,70,1470,1430,1610,1870
122,11000,0,0,0,0,30,280,630,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1060,110,1420,1460,1640,2000
124,11000,0,0,0,0,30,220,570,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,1160,80,1330,1510,1640,2190
126,11000,0,0,0,0,30,180,480,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,1170,50,1320,1560,1510,2380
128,11000,0,0,0,0,20,170,350,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,1190,100,1330,1450,1550,2550
130,11000,0,0,0,0,0,130,360,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,1060,110,1340,1330,1470,2820
132,11000,0,0,0,0,0,110,320,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,1020,200,1290,1350,1400,2990
134,11000,0,0,0,0,0,100,300,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,980,170,1210,1300,1370,3280
136,11000,0,0,0,0,0,90,270,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540,1140,80,1140,1310,1340,3500
138,11000,0,0,0,0,0,50,260,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1190,100,1010,1270,1440,3720
140,11000,0,0,0,0,0,40,230,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,1310,90,920,1240,1400,3880
142,11000,0,0,0,0,0,30,190,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1420,90,900,1230,1260,4070
144,11000,0,0,0,0,0,30,180,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,1470,110,850,1200,1210,4250
146,11000,0,0,0,0,0,30,110,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,1460,150,720,1190,1200,4460
