Mile,Minute,Runners,Half
15,44,0,0
16,44,0,0
17,44,0,0
18,44,0,0
19,44,0,0
20,44,0,0
21,44,0,0
22,44,0,0
23,44,0,0
24,44,0,0
25,44,0,0
0,46,990,80
1,46,4830,3600
2,46,2610,2090
3,46,3590,2640
4,46,2790,1570
5,46,1500,740
6,46,560,250
7,46,100,30
8,46,20,0
9,46,10,0
10,46,0,0
11,46,0,0
12,46,0,0
13,46,0,0
14,46,0,0
15,46,0,0
16,46,0,0
17,46,0,0
18,46,0,0
19,46,0,0
20,46,0,0
21,46,0,0
22,46,0,0
23,46,0,0
24,46,0,0
25,46,0,0
0,48,920,30
1,48,4220,3260
2,48,2700,1990
3,48,3420,2620
4,48,3060,1850
5,48,1680,840
6,48,720,320
7,48,240,90
8,48,20,0
9,48,20,0
10,48,0,0
11,48,0,0
12,48,0,0
13,48,0,0
14,48,0,0
15,48,0,0
16,48,0,0
17,48,0,0
18,48,0,0
19,48,0,0
20,48,0,0
21,48,0,0
22,48,0,0
23,48,0,0
24,48,0,0
25,48,0,0
0,50,890,0
1,50,3460,2730
2,50,2990,2150
3,50,3330,2590
4,50,3150,1990
5,50,1800,920
6,50,1000,470
7,50,330,140
8,50,10,0
9,50,30,0
10,50,0,0
11,50,0,0
12,50,0,0
13,50,0,0
14,50,0,0
15,50,0,0
16,50,0,0
17,50,0,0
18,50,0,0
19,50,0,0
20,50,0,0
21,50,0,0
22,50,0,0
23,50,0,0
24,50,0,0
25,50,0,0
0,52,11890,11000
1,52,440,0
2,52,1080,0
3,52,600,0
4,52,1090,0
5,52,970,0
6,52,590,0
7,52,240,0
8,52,70,0
9,52,20,0
10,52,10,0
11,52,0,0
12,52,0,0
13,52,0,0
14,52,0,0
15,52,0,0
16,52,0,0
17,52,0,0
18,52,0,0
19,52,0,0
20,52,0,0
21,52,0,0
22,52,0,0
23,52,0,0
24,52,0,0
25,52,0,0
0,54,11890,11000
1,54,240,0
2,54,1170,0
3,54,580,0
4,54,930,0
5,54,1040,0
6,54,710,0
7,54,280,0
8,54,120,0
9,54,20,0
10,54,20,0
11,54,0,0
12,54,0,0
13,54,0,0
14,54,0,0
15,54,0,0
16,54,0,0
17,54,0,0
18,54,0,0
19,54,0,0
20,54,0,0
21,54,0,0
22,54,0,0
23,54,0,0
24,54,0,0
25,54,0,0
0,56,11640,10750
1,56,350,250
2,56,1190,0
3,56,500,0
4,56,930,0
5,56,1040,0
6,56,760,0
7,56,380,0
8,56,160,0
9,56,20,0
10,56,20,0
11,56,10,0
12,56,0,0
13,56,0,0
14,56,0,0
15,56,0,0
16,56,0,0
17,56,0,0
18,56,0,0
19,56,0,0
20,56,0,0
21,56,0,0
22,56,0,0
23,56,0,0
24,56,0,0
25,56,0,0
0,58,3140,2250
1,58,8800,8750
2,58,1070,0
3,58,590,0
4,58,790,0
5,58,1050,0
6,58,820,0
7,58,470,0
8,58,170,0
9,58,70,0
10,58,20,0
11,58,10,0
12,58,0,0
13,58,0,0
14,58,0,0
15,58,0,0
16,58,0,0
17,58,0,0
18,58,0,0
19,58,0,0
20,58,0,0
21,58,0,0
22,58,0,0
23,58,0,0
24,58,0,0
25,58,0,0
0,60,1580,690
1,60,10340,10310
