raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,finished
372,1228,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1226
374,1228,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1226
376,1228,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1226
378,1228,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1226
380,1228,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1226
382,1228,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,1226
384,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1227
386,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1227
388,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
390,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
392,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
394,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
396,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
398,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
400,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
402,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
404,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
406,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
408,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
410,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
412,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
414,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
416,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
418,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
420,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
422,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
424,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
426,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
428,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
430,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
432,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
434,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
436,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
438,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
440,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
442,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
444,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
446,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
448,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
450,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
452,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
454,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
456,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
458,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
460,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
462,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
464,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
466,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
468,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
470,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
472,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
474,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
476,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
478,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
480,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
482,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
484,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
486,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
488,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
490,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
492,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
494,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
496,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
498,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228
